"";"cab3";"q4";"q120_11";"q120_12";"q120_13";"q120_14";"q120_15";"q120_16";"q120_17";"q120_18";"q120_19";"q120_21";"q120_22";"q120_23";"q120_24";"q120_25";"q120_26";"q120_27";"q120_28";"q120_29";"q120_31";"q120_32";"q120_33";"q120_34";"q120_35";"q120_36";"q120_37";"q120_38";"q120_39";"q120_41";"q120_42";"q120_43";"q120_44";"q120_45";"q120_46";"q120_47";"q120_48";"q120_49";"q120_51";"q120_52";"q120_53";"q120_54";"q120_55";"q120_56";"q120_57";"q120_58";"q120_59";"q120_61";"q120_62";"q120_63";"q120_64";"q120_65";"q120_66";"q120_67";"q120_68";"q120_69";"chance_nova_ocorrencia";"q119_1";"q119_2";"q119_3";"q119_4";"sexo";"renda";"renda_casa";"area_risco";"maior_intrucao";"n_enchentes";"maior_instrucao";"viz"
"1";71;"Altinopolis";5;5;5;3;1;3;1;1;1;5;4;3;1;1;1;1;5;5;5;3;5;1;2;2;1;4;2;5;4;5;2;4;3;4;2;5;2;3;1;3;5;5;5;1;1;5;5;5;5;2;4;3;1;1;1;5;5;5;5;2;1;1;0;4;0;"media";1
"2";72;"Altinopolis";4;1;4;3;2;1;1;2;1;5;5;1;1;1;2;2;4;5;5;5;1;1;1;1;1;2;1;5;5;4;1;2;2;1;5;5;3;1;1;2;5;5;3;4;1;5;5;5;5;1;1;2;1;3;1;5;5;1;1;2;1;1;0;5;0;"alta";1
"3";143;"Altinopolis";5;4;5;3;2;3;1;1;1;5;3;5;2;1;1;5;5;1;4;4;3;2;2;2;4;4;5;5;3;5;1;4;3;2;3;2;2;4;1;3;5;5;2;5;5;5;5;4;5;2;3;1;1;1;1;5;5;5;4;2;1;1;0;2;9999;"baixa";1
"4";265;"Altinopolis";5;1;5;3;2;1;1;1;5;4;5;4;3;3;2;2;1;4;5;5;4;1;2;2;1;1;5;5;4;4;2;1;2;1;2;5;1;2;1;4;5;5;4;5;2;5;5;3;3;3;4;2;1;4;1;5;5;5;5;2;4;4;0;4;1;"media";1
"5";266;"Altinopolis";4;2;5;3;2;3;2;1;5;1;1;1;2;4;5;4;5;2;2;1;2;2;5;4;3;4;1;2;1;2;2;5;4;3;4;1;4;5;4;3;4;5;2;2;5;5;5;4;3;3;2;1;2;5;1;5;3;1;4;2;4;4;0;3;0;"media";1
"6";267;"Altinopolis";1;1;1;3;3;4;5;4;2;2;1;2;2;4;4;3;4;2;2;1;2;2;4;3;3;4;2;2;1;2;2;4;3;3;4;2;1;1;1;5;5;4;5;5;2;1;1;1;5;5;5;4;5;2;1;1;1;1;1;1;1;1;0;3;0;"media";1
"7";268;"Altinopolis";5;1;5;4;3;2;2;1;5;5;4;5;3;2;1;1;2;5;5;4;5;3;2;1;1;3;5;5;4;5;3;2;1;1;2;5;5;5;4;4;3;3;2;2;5;5;5;5;4;2;2;1;1;5;1;5;5;5;5;2;7;7;0;4;0;"media";1
"8";314;"Altinopolis";1;2;1;4;4;4;4;3;1;4;1;3;3;2;2;3;2;2;4;1;3;3;2;2;1;2;3;4;2;3;3;2;2;1;2;3;1;3;2;5;5;5;5;5;2;1;4;1;5;4;4;5;4;5;1;5;5;5;5;1;5;5;0;4;0;"media";1
"9";356;"Altinopolis";5;5;5;3;3;4;4;4;5;4;4;3;3;4;3;3;5;5;5;4;4;3;2;3;2;3;5;5;5;4;2;3;5;1;5;4;1;2;2;4;4;5;5;5;1;5;5;4;5;3;4;3;3;5;4;5;5;4;5;1;4;4;0;2;2;"baixa";1
"10";389;"Altinopolis";3;3;4;4;3;2;3;1;4;4;3;5;4;1;1;2;2;5;5;4;5;3;2;1;1;2;4;5;4;5;3;2;1;1;2;4;4;5;4;4;3;2;3;2;5;4;5;4;5;4;3;2;1;5;1;3;3;3;3;2;4;4;0;3;0;"media";1
"11";437;"Altinopolis";2;1;2;3;4;4;4;3;2;3;2;3;2;4;3;4;4;3;3;3;2;2;3;4;4;4;4;3;2;3;3;4;4;3;3;4;1;2;2;4;5;5;5;4;2;4;3;3;4;5;5;4;3;5;1;4;3;2;4;1;5;5;0;5;0;"alta";1
"12";438;"Altinopolis";5;4;4;3;2;2;1;2;5;5;5;4;3;3;1;1;3;5;4;5;4;2;2;1;2;2;4;5;4;5;3;3;2;2;2;4;4;4;5;4;2;3;3;4;1;5;5;5;4;3;4;3;2;2;1;5;4;3;5;1;6;6;0;5;1;"alta";1
"13";439;"Altinopolis";5;3;4;3;3;2;2;2;5;4;5;4;1;2;2;1;1;5;4;4;5;2;3;2;1;1;4;5;5;4;4;2;1;1;1;4;4;4;3;4;3;4;4;3;3;5;5;4;3;3;2;3;2;5;1;5;4;2;4;1;4;4;0;5;1;"alta";1
"14";440;"Altinopolis";4;1;5;4;3;2;1;2;3;5;4;5;3;2;1;2;1;5;5;4;5;3;2;1;2;2;4;5;5;5;3;2;1;1;3;4;4;5;4;4;4;5;4;5;5;5;5;5;4;3;2;4;2;5;1;5;3;2;5;2;5;5;0;4;0;"media";1
"15";456;"Altinopolis";2;1;3;2;3;2;3;2;1;3;2;3;1;2;4;4;5;3;3;3;2;2;1;4;4;3;3;2;2;3;4;5;5;4;3;2;3;3;3;4;5;3;4;5;2;2;2;3;4;5;4;5;3;2;1;3;4;3;5;1;6;6;0;3;0;"media";1
"16";507;"Altinopolis";2;1;1;3;4;4;5;4;1;1;2;1;3;3;4;4;3;2;3;1;2;1;2;2;3;1;3;4;2;2;3;3;3;4;2;3;1;1;2;5;4;5;4;5;1;5;5;4;5;3;4;4;3;4;2;4;4;5;4;2;1;1;0;5;0;"alta";1
"17";508;"Altinopolis";1;1;1;5;4;3;4;2;1;4;2;3;1;2;2;3;2;4;4;2;3;1;2;2;3;2;4;4;2;3;1;2;2;3;2;4;1;2;1;5;5;5;4;5;1;2;3;2;5;4;5;5;3;2;1;5;5;5;5;2;4;4;0;4;0;"media";1
"18";509;"Altinopolis";5;1;4;2;3;3;3;3;5;5;3;4;1;2;1;1;2;5;5;3;4;1;2;1;1;2;5;5;3;4;1;1;2;1;2;5;5;5;3;5;5;4;5;5;4;5;5;5;5;4;4;4;4;5;1;4;2;2;3;1;5;5;0;4;0;"media";1
"19";510;"Altinopolis";1;1;1;2;2;3;2;1;1;2;1;2;1;2;3;2;2;3;2;2;3;1;2;2;5;3;2;2;3;3;1;3;3;4;1;2;3;2;1;1;4;5;4;2;2;3;2;3;4;4;5;4;3;2;1;4;5;4;5;2;4;4;0;4;0;"media";1
"20";511;"Altinopolis";1;1;3;3;4;2;2;3;1;5;5;4;2;3;4;3;3;5;4;4;5;1;3;4;2;3;5;5;4;4;1;3;4;2;3;5;1;2;1;5;5;5;4;5;1;5;5;4;5;4;5;4;3;5;1;5;3;3;5;1;1;1;0;4;0;"media";1
"21";512;"Altinopolis";5;5;2;2;2;1;2;1;5;5;5;3;3;2;1;2;2;5;5;3;3;3;2;2;2;2;5;3;4;4;3;2;1;2;3;5;3;5;2;2;2;5;3;4;2;4;4;3;4;2;4;3;4;5;1;4;5;2;4;1;4;4;0;4;0;"media";1
"22";513;"Altinopolis";4;3;4;3;4;3;2;1;4;4;3;4;2;1;2;1;1;5;5;3;4;2;1;1;2;2;4;4;3;5;2;1;2;1;1;5;4;5;3;4;5;5;3;4;4;4;5;5;4;4;4;4;3;5;1;4;4;4;4;2;4;4;0;2;0;"baixa";1
"23";514;"Altinopolis";5;2;4;3;4;3;2;1;5;5;5;4;3;3;2;1;2;4;5;5;4;3;3;2;1;1;4;5;5;4;3;3;2;1;2;4;5;4;3;5;5;4;4;5;3;5;5;5;4;3;2;2;2;5;1;5;4;3;5;1;4;4;0;3;0;"media";1
"24";520;"Altinopolis";5;1;5;1;1;1;1;1;5;5;5;4;5;1;1;1;1;5;4;3;5;1;2;1;1;2;5;5;1;5;1;2;1;2;4;4;5;4;1;5;5;4;5;5;1;5;5;4;5;5;3;2;1;5;4;4;5;4;5;1;4;4;0;5;4;"alta";1
"25";521;"Altinopolis";5;1;1;2;3;3;2;4;3;4;4;5;2;2;2;1;3;5;5;3;5;3;3;3;4;3;5;5;3;5;2;2;3;2;2;5;4;3;5;5;4;4;5;4;4;5;5;5;4;4;3;4;3;5;1;2;3;4;5;1;8;8;0;5;1;"alta";1
"26";528;"Altinopolis";5;5;4;1;3;3;2;1;1;5;3;5;3;3;2;2;2;4;5;5;5;3;4;1;1;1;3;4;3;3;3;5;1;1;2;3;5;2;4;5;1;1;5;5;4;3;1;4;4;2;4;2;2;5;1;5;5;5;5;2;1;1;0;2;0;"baixa";1
"27";529;"Altinopolis";4;1;2;2;4;2;2;1;4;4;3;2;1;4;1;1;1;3;3;4;3;3;2;1;1;1;2;3;4;2;2;2;1;1;2;3;4;3;4;4;4;1;4;2;2;2;4;3;4;2;2;1;2;4;1;5;5;5;5;1;1;1;0;4;0;"media";1
"28";530;"Altinopolis";1;1;5;2;2;2;3;2;1;5;4;5;2;1;2;2;2;5;5;3;5;2;1;2;1;1;5;5;2;5;2;1;2;1;1;5;1;4;1;5;5;5;4;5;3;4;5;1;5;4;3;5;2;4;1;4;5;4;5;1;4;4;0;3;0;"media";1
"29";544;"Altinopolis";5;1;4;4;4;4;3;1;5;5;5;4;3;2;2;1;2;5;5;5;4;3;2;2;1;2;5;5;5;4;3;2;2;1;2;5;5;5;4;5;5;5;4;5;5;5;5;4;5;4;4;3;1;5;1;3;3;3;3;2;4;4;0;2;0;"baixa";1
